GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P
ENSG00000131697,1,5922871,6052533,311,13,65967,-0.85376,0.80338
ENSG00000069424,1,6051526,6161253,149,22,65967,0.085845,0.46579
ENSG00000268332,1,6100630,6101399,2,1,65967,0.68285,0.24735
ENSG00000116254,1,6161853,6240183,145,16,65967,-0.17298,0.56867
ENSG00000116251,1,6241329,6269449,11,1,65967,1.4647,0.071505
ENSG00000158286,1,6265535,6281359,14,2,65967,0.28858,0.38645
ENSG00000116237,1,6281253,6296032,21,3,65967,0.090798,0.46383
ENSG00000173673,1,6304252,6305638,1,1,65967,0.090865,0.4638
ENSG00000158292,1,6307406,6321035,26,1,65967,-1.1054,0.86551
ENSG00000097021,1,6324329,6454451,319,16,65967,-0.60318,0.7268
ENSG00000069812,1,6472478,6484730,31,5,65967,0.31791,0.37528
ENSG00000187017,1,6484848,6521430,65,6,65967,0.18977,0.42475
ENSG00000215788,1,6521211,6526255,5,1,65967,0.79832,0.21234
ENSG00000171680,1,6526152,6580121,57,9,65967,2.2018,0.013841
ENSG00000162408,1,6581407,6614595,84,2,65967,-0.113,0.54498
ENSG00000173662,1,6615241,6639817,20,2,65967,0.064388,0.47433
ENSG00000204859,1,6640061,6649340,5,2,65967,2.0867,0.018456
ENSG00000162413,1,6650784,6674667,24,3,65967,2.9438,0.0016212
ENSG00000116273,1,6673745,6684093,16,3,65967,3.2296,0.00061979
ENSG00000041988,1,6684926,6695646,23,3,65967,3.2694,0.00053884
ENSG00000007923,1,6694228,6761984,99,8,65967,4.0466,2.5981e-05
ENSG00000171735,1,6845384,7829766,1938,149,65967,-0.15681,0.5623
ENSG00000049245,1,7831329,7841492,29,7,65967,2.1941,0.014113
ENSG00000049246,1,7844380,7905237,210,25,65967,1.0201,0.15385
ENSG00000049247,1,7903143,7913572,34,10,65967,0.12835,0.44893
ENSG00000049249,1,7979907,8000926,34,4,65967,-1.0257,0.84748
ENSG00000116288,1,8014351,8045565,45,5,65967,1.2062,0.11387
ENSG00000116285,1,8064464,8086368,25,4,65967,1.0114,0.15592
ENSG00000162426,1,8377886,8404227,61,8,65967,3.8052,7.085e-05
ENSG00000142599,1,8412457,8877702,476,16,65967,3.7423,9.116e-05
ENSG00000074800,1,8921061,8939308,21,3,65967,1.0773,0.14068
ENSG00000131686,1,9005926,9035151,71,13,65967,0.17255,0.4315
ENSG00000197241,1,9063359,9086404,20,7,65967,-1.164,0.8778
ENSG00000142583,1,9095166,9148537,142,17,65967,-1.3005,0.90328
ENSG00000180758,1,9160364,9189229,55,6,65967,-1.2242,0.88956
ENSG00000049239,1,9294834,9331396,65,9,65967,-0.15349,0.561
ENSG00000171621,1,9352939,9429591,176,27,65967,-0.24988,0.59866
ENSG00000171612,1,9599541,9645237,36,2,65967,-1.1527,0.87549
ENSG00000188807,1,9648932,9674935,23,2,65967,-0.77567,0.78103
ENSG00000171608,1,9711790,9789172,74,12,65967,-0.18262,0.57245
ENSG00000179840,1,9712668,9714644,4,2,65967,1.0741,0.14139
ENSG00000171603,1,9789084,9884584,63,3,65967,-0.82132,0.79427
ENSG00000178585,1,9908334,9970394,30,3,65967,0.30334,0.38081
ENSG00000162441,1,9982173,10003465,33,5,65967,-0.79217,0.78587
ENSG00000173614,1,10003486,10045559,40,4,65967,-0.45312,0.67477
ENSG00000162444,1,10057264,10076078,15,2,65967,-1.0404,0.85093
ENSG00000130939,1,10092890,10241297,132,16,65967,-0.32028,0.62562
ENSG00000054523,1,10270863,10441661,303,10,65967,-0.28397,0.61178
ENSG00000142657,1,10458649,10480201,36,4,65967,-0.41668,0.66154
ENSG00000251503,1,10490159,10512210,38,4,65967,0.27634,0.39114
ENSG00000175279,1,10490159,10512210,38,4,65967,0.27634,0.39114
ENSG00000241563,1,10509776,10511959,3,1,65967,-0.045951,0.51833
ENSG00000160049,1,10516579,10532583,14,3,65967,-0.079413,0.53165
ENSG00000142655,1,10532345,10690815,284,15,65967,0.28464,0.38796
ENSG00000130940,1,10696661,10856707,134,24,65967,0.12835,0.44894
ENSG00000175262,1,11006528,11042094,88,10,65967,-0.6841,0.75304
ENSG00000120948,1,11072414,11085796,15,2,65967,1.4604,0.072085
ENSG00000009724,1,11086580,11107290,38,4,65967,0.76129,0.22324
ENSG00000116649,1,11114641,11120081,6,2,65967,0.051139,0.47961
ENSG00000171824,1,11126675,11159938,81,4,65967,-0.33048,0.62948
ENSG00000198793,1,11166592,11322564,269,6,65967,-0.64457,0.7404
ENSG00000171819,1,11249398,11256038,11,1,65967,-0.087528,0.53487
ENSG00000120942,1,11333263,11356106,22,2,65967,1.3278,0.092128
ENSG00000204624,1,11539223,11597641,123,10,65967,2.385,0.0085386
ENSG00000132879,1,11714432,11723384,4,1,65967,1.6512,0.049347
ENSG00000116663,1,11724181,11734411,6,1,65967,1.062,0.14413
ENSG00000116670,1,11734537,11751707,5,1,65967,1.5422,0.061511
ENSG00000162490,1,11751786,11785914,50,9,65967,1.2563,0.10451
ENSG00000177674,1,11796141,11814859,35,4,65967,-0.55037,0.70897
ENSG00000215910,1,11821844,11849642,140,10,65967,1.906,0.028326
ENSG00000177000,1,11845780,11866977,78,10,65967,1.8165,0.034649
ENSG00000011021,1,11866207,11903201,173,12,65967,1.3505,0.088423
ENSG00000175206,1,11905766,11908402,15,4,65967,0.28638,0.3873
ENSG00000116685,1,11979648,11986485,19,5,65967,1.1111,0.13326
ENSG00000083444,1,11994262,12035595,96,9,65967,1.174,0.12021
ENSG00000116688,1,12040238,12073571,73,7,65967,-0.61008,0.72909
ENSG00000116691,1,12079523,12092102,17,3,65967,0.78866,0.21516
ENSG00000120949,1,12123434,12204264,85,17,65967,2.9937,0.0013781
ENSG00000028137,1,12227060,12269285,81,8,65967,-0.89017,0.81331
ENSG00000048707,1,12290124,12572099,220,13,65967,0.1767,0.42987
ENSG00000162496,1,12627939,12677737,105,18,65967,1.3687,0.085546
ENSG00000204518,1,12704566,12727097,27,2,65967,1.2981,0.097119
ENSG00000188984,1,12776118,12788726,32,3,65967,-0.82796,0.79615
ENSG00000157330,1,12806163,12823847,31,5,65967,-1.3367,0.90934
ENSG00000116726,1,12834984,12838049,6,2,65967,0.11503,0.45421
ENSG00000116721,1,12851546,12856777,3,1,65967,-1.2298,0.89062
ENSG00000162494,1,13801445,13840543,42,11,65967,-0.4573,0.67627
ENSG00000162493,1,13909960,13944452,70,15,65967,-0.686,0.75364
ENSG00000116731,1,14026693,14151574,186,21,65967,1.6586,0.048598
ENSG00000189337,1,14925200,15444539,1252,130,65967,-0.50568,0.69346
ENSG00000171729,1,15479028,15546976,317,24,65967,-0.13988,0.55562
ENSG00000204464,1,15490840,15497813,23,6,65967,-1.2577,0.89575
ENSG00000142621,1,15573768,15726779,296,28,65967,0.60104,0.27391
ENSG00000142634,1,15736391,15756839,11,3,65967,-0.61923,0.73212
ENSG00000162438,1,15764935,15775737,8,2,65967,0.6922,0.24441
ENSG00000142615,1,15783223,15798586,48,7,65967,-1.3939,0.91832
ENSG00000215704,1,15792404,15817895,64,9,65967,-0.84455,0.80082
ENSG00000132906,1,15817327,15853029,117,7,65967,-0.28864,0.61357
ENSG00000116138,1,15853308,15918874,173,9,65967,-0.35922,0.64028
ENSG00000116771,1,15898848,15911605,46,4,65967,-0.028379,0.51132
ENSG00000197312,1,15943995,15995539,97,4,65967,0.4511,0.32596
ENSG00000215695,1,15986364,15988217,2,1,65967,0.3696,0.35584
ENSG00000116786,1,16010827,16061264,112,7,65967,-0.42736,0.66544
ENSG00000162461,1,16062900,16067891,3,1,65967,0.21928,0.41322
ENSG00000162460,1,16068917,16074477,3,1,65967,-0.3125,0.62267
ENSG00000162458,1,16083102,16113089,36,4,65967,-0.49248,0.68881
ENSG00000065526,1,16174359,16266955,116,12,65967,-0.47724,0.68341
ENSG00000116809,1,16268364,16302627,45,9,65967,-0.095175,0.53791
ENSG00000183888,1,16330731,16335302,13,4,65967,-0.95573,0.8304
ENSG00000173641,1,16340523,16346089,43,5,65967,0.1955,0.4225
ENSG00000186510,1,16345370,16360545,77,10,65967,1.6686,0.047598
ENSG00000184908,1,16370272,16383803,56,4,65967,-0.49193,0.68862
ENSG00000185519,1,16384264,16400127,6,1,65967,-0.39683,0.65426
ENSG00000142627,1,16450832,16482582,23,3,65967,0.70502,0.2404
ENSG00000142632,1,16524349,16539104,44,4,65967,0.41458,0.33923
ENSG00000204377,1,16555368,16556038,2,1,65967,2.1651,0.015191
ENSG00000132881,1,16558195,16563657,10,3,65967,1.3811,0.083619
ENSG00000037637,1,16573334,16678949,179,7,65967,2.2639,0.011791
ENSG00000055070,1,16679070,16724640,81,7,65967,1.9587,0.025075
ENSG00000187144,1,16713612,16763919,105,15,65967,1.2946,0.097725
ENSG00000157191,1,16767167,16786573,33,6,65967,1.0702,0.14226
ENSG00000058453,1,17066768,17299474,43,6,65967,-0.93988,0.82636
ENSG00000117122,1,17300997,17307330,16,3,65967,1.2084,0.11345
ENSG00000159363,1,17312453,17338423,41,7,65967,1.1428,0.12657
ENSG00000117118,1,17345217,17380665,104,9,65967,2.2156,0.013361
ENSG00000117115,1,17393256,17445948,209,12,65967,1.895,0.029045
ENSG00000142623,1,17531621,17572500,79,15,65967,1.3605,0.086831
ENSG00000142619,1,17575593,17610728,150,21,65967,0.88411,0.18832
ENSG00000159339,1,17634690,17690499,229,17,65967,0.46458,0.32112
ENSG00000269468,1,17655507,17676070,135,11,65967,0.62665,0.26544
ENSG00000179051,1,17733256,17766220,56,7,65967,0.25912,0.39777
ENSG00000074964,1,17866330,18024369,239,19,65967,-1.1799,0.88097
ENSG00000117148,1,18081808,18153558,153,15,65967,-0.60107,0.7261
ENSG00000117154,1,18434240,18704977,671,84,65967,2.9782,0.0014496
ENSG00000179023,1,18807424,18812478,25,5,65967,0.32497,0.3726
ENSG00000009709,1,18957500,19075360,171,25,65967,0.48338,0.31441
ENSG00000179002,1,19166093,19186176,55,8,65967,0.024559,0.4902
ENSG00000255275,1,19175767,19247615,43,4,65967,0.89295,0.18594
ENSG00000159423,1,19197926,19229275,21,1,65967,1.04,0.14918
ENSG00000169991,1,19230775,19283180,86,12,65967,-0.51917,0.69818
ENSG00000127481,1,19401000,19536770,213,16,65967,-0.030599,0.51221
ENSG00000127463,1,19542158,19578046,88,9,65967,0.82971,0.20335
ENSG00000053372,1,19578033,19586622,52,8,65967,0.43216,0.33281
ENSG00000162482,1,19609052,19615744,24,4,65967,1.4827,0.069081
ENSG00000053371,1,19630459,19638640,17,6,65967,1.2672,0.10254
ENSG00000040487,1,19638820,19655794,72,9,65967,1.1499,0.1251
ENSG00000077549,1,19665267,19812066,447,20,65967,-0.251,0.59909
ENSG00000270136,1,19923473,19984549,128,19,65967,1.5513,0.060417
ENSG00000173436,1,19923477,19956314,64,10,65967,1.017,0.15458
ENSG00000158747,1,19967048,19984945,35,9,65967,1.2672,0.10255
ENSG00000158748,1,19991780,20006055,24,3,65967,0.44077,0.32969
ENSG00000162542,1,20008706,20126438,228,25,65967,-0.83261,0.79747
ENSG00000169914,1,20209006,20239438,66,12,65967,-0.66671,0.74752
ENSG00000188784,1,20246502,20250110,14,4,65967,0.32512,0.37255
ENSG00000188257,1,20301925,20306932,9,3,65967,0.034954,0.48606
ENSG00000127472,1,20354672,20417683,176,20,65967,-1.5549,0.94001
ENSG00000117215,1,20438432,20446050,9,4,65967,-0.48444,0.68596
ENSG00000158786,1,20465819,20476879,8,2,65967,1.4162,0.078355
ENSG00000187980,1,20487746,20503917,41,8,65967,0.56675,0.28544
ENSG00000162543,1,20512578,20522541,7,2,65967,-0.65019,0.74221
ENSG00000158816,1,20617412,20681387,207,24,65967,0.97224,0.16547
ENSG00000162545,1,20808884,20812713,2,1,65967,0.39961,0.34472
ENSG00000090432,1,20825943,20834654,17,5,65967,1.4157,0.078426
ENSG00000183114,1,20878932,20881512,3,1,65967,0.91823,0.17925
ENSG00000158825,1,20915441,20945401,108,17,65967,-1.5261,0.93651
ENSG00000158828,1,20959948,20978004,66,9,65967,-1.2315,0.89093
ENSG00000244038,1,20978270,20988000,23,4,65967,-0.4142,0.66064
ENSG00000117245,1,20990507,21044510,141,28,65967,0.62909,0.26465
ENSG00000189410,1,21046225,21059330,29,6,65967,1.2956,0.097554
ENSG00000127483,1,21069154,21113816,69,8,65967,2.0478,0.020288
ENSG00000075151,1,21132963,21503377,515,12,65967,1.8647,0.031108
ENSG00000117298,1,21543740,21671997,274,26,65967,-0.64265,0.73977
ENSG00000142794,1,21766621,21811498,78,6,65967,-1.1926,0.88348
ENSG00000162551,1,21835858,21904905,258,22,65967,0.43551,0.3316
ENSG00000076864,1,21922708,21995801,207,40,65967,-0.36669,0.64307
ENSG00000090686,1,22004791,22110099,270,19,65967,1.3281,0.092076
ENSG00000187942,1,22138758,22151714,11,3,65967,-0.23101,0.59134
ENSG00000142798,1,22148738,22263790,210,21,65967,0.85604,0.19599
ENSG00000219073,1,22303514,22325135,83,8,65967,-0.57073,0.71591
ENSG00000142789,1,22328149,22339032,18,3,65967,-0.4033,0.65664
ENSG00000070831,1,22379120,22419437,80,10,65967,1.5284,0.063205
ENSG00000162552,1,22443798,22470462,68,10,65967,3.3257,0.00044097
ENSG00000184677,1,22778344,22857650,95,8,65967,0.60219,0.27353
ENSG00000070886,1,22890057,22930087,114,16,65967,-1.1104,0.86659
ENSG00000173372,1,22962999,22966101,5,2,65967,-0.068816,0.52743
ENSG00000159189,1,22970123,22974603,19,3,65967,0.33471,0.36892
ENSG00000173369,1,22979255,22988031,23,5,65967,-0.36746,0.64336
ENSG00000133216,1,23037332,23241818,323,34,65967,0.63588,0.26243
ENSG00000215906,1,23279536,23291831,24,4,65967,0.36512,0.35751
ENSG00000227868,1,23337327,23342343,7,2,65967,-1.1826,0.88152
ENSG00000004487,1,23345941,23410182,56,6,65967,-0.30912,0.62138
ENSG00000169641,1,23410516,23504301,122,11,65967,0.23715,0.40627
ENSG00000179546,1,23516993,23521222,8,2,65967,0.25228,0.40041
ENSG00000125944,1,23630264,23670829,24,3,65967,0.22266,0.4119
ENSG00000125945,1,23685941,23695935,22,4,65967,0.15703,0.43761
ENSG00000249087,1,23695490,23698332,3,2,65967,0.47074,0.31891
ENSG00000204219,1,23707554,23751233,97,13,65967,-0.057985,0.52312
ENSG00000088280,1,23755056,23811061,92,10,65967,0.31807,0.37522
ENSG00000007968,1,23832922,23857712,39,5,65967,-0.33263,0.63029
ENSG00000117318,1,23884409,23886285,1,1,65967,0.57869,0.2814
ENSG00000197880,1,23907985,23967058,58,11,65967,0.25297,0.40015
ENSG00000142676,1,24018269,24022915,3,1,65967,-0.53067,0.70217
ENSG00000011007,1,24069645,24088549,8,3,65967,-1.3521,0.91183
ENSG00000057757,1,24104895,24114722,3,1,65967,-1.0273,0.84787
ENSG00000117305,1,24128375,24165110,37,2,65967,-0.89919,0.81572
ENSG00000179163,1,24171567,24194784,29,3,65967,-1.0447,0.85193
ENSG00000188822,1,24197016,24285549,47,1,65967,-0.040681,0.51622
ENSG00000142661,1,24382525,24438665,145,15,65967,-0.43492,0.66819
ENSG00000142677,1,24446261,24469611,59,11,65967,-0.6496,0.74203
ENSG00000185436,1,24480647,24514449,82,13,65967,-0.63502,0.73729
ENSG00000158055,1,24645812,24690972,60,11,65967,0.99062,0.16093
ENSG00000001460,1,24683489,24743424,123,11,65967,0.24098,0.40479
ENSG00000001461,1,24742284,24799466,137,11,65967,1.0197,0.15394
ENSG00000117602,1,24829387,24867530,86,9,65967,1.4575,0.072484
ENSG00000184454,1,24882602,24935819,207,27,65967,0.4809,0.31529
ENSG00000133226,1,24958207,24999758,28,4,65967,1.0523,0.14633
ENSG00000169504,1,25071848,25170815,54,3,65967,-1.0437,0.85168
ENSG00000020633,1,25226002,25291612,76,11,65967,-0.66446,0.7468
ENSG00000183726,1,25664408,25688852,11,1,65967,0.47416,0.31769
ENSG00000188672,1,25688740,25756683,49,2,65967,0.67548,0.24969
ENSG00000204178,1,25757388,25826700,32,1,65967,0.70911,0.23913
ENSG00000157978,1,25870071,25895377,20,1,65967,-0.36091,0.64092
ENSG00000117643,1,25943959,26112698,189,17,65967,0.37833,0.35259
ENSG00000162430,1,26126667,26144713,34,3,65967,0.15447,0.43862
ENSG00000255054,1,26137961,26150235,25,2,65967,0.065267,0.47398
ENSG00000117640,1,26145131,26159432,28,2,65967,0.1673,0.43357
ENSG00000223474,1,26145212,26147288,5,2,65967,0.26804,0.39433
ENSG00000127423,1,26158414,26185903,59,2,65967,0.17092,0.43214
ENSG00000182749,1,26187701,26197744,4,1,65967,0.85295,0.19684
ENSG00000117632,1,26210672,26233482,17,2,65967,0.66953,0.25158
ENSG00000158006,1,26286258,26324648,70,4,65967,-0.0043336,0.50173
ENSG00000158008,1,26346375,26362955,18,3,65967,-0.59115,0.72279
ENSG00000158014,1,26363743,26372624,15,2,65967,0.17961,0.42873
ENSG00000158022,1,26377795,26394927,31,3,65967,0.43508,0.33175
ENSG00000175087,1,26437664,26452034,26,1,65967,0.56837,0.28489
ENSG00000197245,1,26485511,26489119,7,3,65967,2.038,0.020776
ENSG00000142684,1,26496362,26498551,7,2,65967,0.99112,0.16081
ENSG00000142675,1,26503894,26516377,21,5,65967,1.9685,0.024504
ENSG00000188782,1,26517052,26529459,60,9,65967,0.12813,0.44902
ENSG00000130695,1,26560691,26605299,118,9,65967,0.33934,0.36718
ENSG00000142669,1,26605667,26608007,4,2,65967,-0.09089,0.53621
ENSG00000158062,1,26607819,26644854,114,9,65967,0.30688,0.37947
ENSG00000169442,1,26644448,26647014,11,3,65967,-0.20815,0.58244
ENSG00000176092,1,26648350,26680621,77,9,65967,-0.048912,0.51951
ENSG00000176083,1,26688125,26701013,37,6,65967,-0.05841,0.52329
ENSG00000131914,1,26737269,26756213,26,7,65967,0.49721,0.30952
ENSG00000117682,1,26758773,26797785,43,8,65967,0.20704,0.41799
ENSG00000198830,1,26798941,26802463,4,2,65967,-0.31668,0.62426
ENSG00000117676,1,26856252,26901521,76,8,65967,1.0666,0.14307
ENSG00000117713,1,27022524,27108595,91,4,65967,2.1793,0.014656
ENSG00000060642,1,27113963,27124889,9,2,65967,1.9867,0.023475
ENSG00000204160,1,27153201,27184093,40,6,65967,1.4719,0.070522
ENSG00000175793,1,27189633,27190947,1,1,65967,-0.65666,0.7443
ENSG00000142751,1,27202624,27216788,16,3,65967,1.6076,0.053963
ENSG00000198746,1,27216979,27226957,9,3,65967,1.4834,0.068982
ENSG00000090273,1,27226729,27273353,47,5,65967,2.143,0.016057
ENSG00000131910,1,27237980,27240457,4,2,65967,0.67876,0.24865
ENSG00000175707,1,27276053,27286897,10,2,65967,2.3593,0.009155
ENSG00000253368,1,27320198,27327389,4,1,65967,0.37183,0.35501
ENSG00000158246,1,27331511,27339327,4,1,65967,0.081887,0.46737
ENSG00000090020,1,27425306,27493472,46,2,65967,1.4532,0.073078
ENSG00000142784,1,27561007,27635110,52,5,65967,1.1664,0.12173
ENSG00000186501,1,27648651,27662891,21,4,65967,0.60259,0.27339
ENSG00000142765,1,27668513,27680421,12,3,65967,0.4457,0.32791
ENSG00000142733,1,27681675,27693383,17,4,65967,0.81824,0.20661
ENSG00000174950,1,27705666,27709870,3,1,65967,-0.24817,0.598
ENSG00000181773,1,27719148,27722318,1,1,65967,-0.78646,0.7842
ENSG00000158195,1,27730730,27816669,77,1,65967,-0.35565,0.63895
ENSG00000126705,1,27860546,27930942,29,4,65967,-0.70872,0.76075
ENSG00000000938,1,27938575,27961788,14,1,65967,0.45917,0.32306
ENSG00000126709,1,27992572,27998729,6,1,65967,-1.1405,0.87297
ENSG00000009780,1,28052490,28089633,47,1,65967,-0.51617,0.69713
ENSG00000117758,1,28099694,28150963,39,2,65967,-0.7151,0.76273
ENSG00000117751,1,28157289,28178187,11,1,65967,-0.75342,0.7744
ENSG00000130775,1,28199055,28213196,24,3,65967,-0.042313,0.51688
ENSG00000117748,1,28218035,28241257,45,3,65967,0.36211,0.35863
ENSG00000130768,1,28261504,28285668,57,7,65967,1.9734,0.024224
ENSG00000158156,1,28285973,28294607,5,2,65967,0.10571,0.45791
ENSG00000158161,1,28296855,28415207,158,12,65967,0.28985,0.38597
ENSG00000169403,1,28473677,28520447,34,5,65967,0.65262,0.257
ENSG00000126698,1,28525967,28559536,69,6,65967,0.61382,0.26967
ENSG00000130770,1,28562620,28573417,34,3,65967,0.39648,0.34587
ENSG00000130766,1,28586038,28609002,33,5,65967,0.6052,0.27252
ENSG00000130772,1,28655513,28662476,1,1,65967,0.96329,0.1677
ENSG00000204138,1,28696114,28826881,330,7,65967,1.3333,0.091213
ENSG00000180198,1,28832455,28865812,54,5,65967,1.3095,0.095184
ENSG00000180098,1,28879597,28905051,22,2,65967,2.2434,0.012435
ENSG00000120656,1,28915835,28969597,33,3,65967,1.9701,0.024412
ENSG00000188060,1,28918712,28921955,2,1,65967,1.9191,0.027488
ENSG00000162419,1,28995244,29045865,54,4,65967,2.1455,0.015956
ENSG00000198492,1,29063133,29096287,40,4,65967,1.5545,0.060035
ENSG00000116329,1,29138654,29190208,133,14,65967,3.4462,0.00028423
ENSG00000159023,1,29213603,29446553,315,15,65967,3.7318,9.5065e-05
ENSG00000253304,1,29445940,29450447,8,2,65967,3.35,0.00040404
ENSG00000116350,1,29474255,29508499,39,7,65967,2.5792,0.0049517
ENSG00000116353,1,29519385,29557454,65,8,65967,1.6168,0.052963
ENSG00000060656,1,29563028,29653325,169,21,65967,1.5699,0.058221
ENSG00000162510,1,31184124,31196434,30,3,65967,2.0942,0.018122
ENSG00000162511,1,31205316,31230667,38,9,65967,2.6162,0.0044458
ENSG00000162512,1,31342314,31381608,31,9,65967,1.2665,0.10267
ENSG00000134644,1,31404353,31538838,193,13,65967,1.5641,0.058901
ENSG00000084628,1,31652592,31712401,197,13,65967,2.5059,0.0061062
ENSG00000060688,1,31732417,31769662,88,6,65967,3.5962,0.00016144
ENSG00000121766,1,31769842,31837783,135,7,65967,3.7217,9.8945e-05
ENSG00000121769,1,31838472,31849697,13,4,65967,4.1775,1.4736e-05
ENSG00000168528,1,31882412,31907525,56,5,65967,2.7894,0.0026399
ENSG00000268950,1,31902192,31902614,2,1,65967,2.5062,0.0061027
ENSG00000121764,1,32083287,32098119,28,3,65967,-1.0896,0.86206
ENSG00000162517,1,32095463,32110497,18,2,65967,-0.85807,0.80457
ENSG00000084636,1,32117848,32169920,68,10,65967,-0.65884,0.745
ENSG00000121753,1,32192718,32230494,18,3,65967,0.13556,0.44609
ENSG00000134668,1,32256023,32281652,26,5,65967,-0.51456,0.69657
ENSG00000184007,1,32372022,32410457,28,4,65967,0.65369,0.25666
ENSG00000121774,1,32479430,32526451,6,3,65967,-0.56375,0.71354
ENSG00000121775,1,32537632,32568467,24,2,65967,0.06004,0.47606
ENSG00000025800,1,32573639,32642169,40,2,65967,0.068908,0.47253
ENSG00000084652,1,32645287,32663886,12,1,65967,0.36043,0.35926
ENSG00000160051,1,32671236,32674288,5,1,65967,0.098286,0.46085
ENSG00000222046,1,32674695,32681797,5,2,65967,0.62307,0.26662
ENSG00000160055,1,32680073,32687972,5,1,65967,0.46238,0.3219
ENSG00000084623,1,32687529,32697205,10,1,65967,0.44152,0.32942
ENSG00000182866,1,32716840,32751766,11,3,65967,0.25167,0.40065
ENSG00000160058,1,32830704,32860332,2,1,65967,-0.41699,0.66166
ENSG00000254553,1,32930658,33066393,213,6,65967,0.12105,0.45183
ENSG00000273274,1,32930670,32962287,16,3,65967,0.59459,0.27606
ENSG00000160062,1,33005028,33071540,120,4,65967,0.19778,0.42161
ENSG00000176261,1,33065773,33116504,75,2,65967,-0.20517,0.58128
ENSG00000162521,1,33116743,33151812,63,2,65967,-0.3318,0.62998
ENSG00000162520,1,33145507,33169197,35,2,65967,-0.16519,0.5656
ENSG00000162522,1,33207486,33240571,28,5,65967,1.6461,0.049868
ENSG00000134684,1,33240840,33283754,64,7,65967,2.001,0.022696
ENSG00000116497,1,33282368,33324476,40,5,65967,1.6945,0.045085
ENSG00000160097,1,33327869,33338083,8,2,65967,1.55,0.060572
ENSG00000121905,1,33351595,33364042,11,2,65967,-0.021615,0.50862
ENSG00000121900,1,33360195,33367039,6,1,65967,-0.52679,0.70083
ENSG00000116514,1,33402046,33430286,41,4,65967,-0.64698,0.74118
ENSG00000004455,1,33473585,33546597,61,2,65967,-0.88104,0.81085
ENSG00000142920,1,33546705,33586131,19,2,65967,-0.6685,0.74809
